Date,Latitude,Salinity
2016-03-06,38.5,32.10948009
2016-03-06,38.6,32.16137967
2016-03-06,38.7,32.21331323
2016-03-06,38.8,32.20784808
2016-03-06,38.9,32.11916389
2016-03-06,39,32.06979485
2016-03-10,37.6,31.72045561
2016-03-10,37.7,32.06064503
2016-03-10,37.8,32.17202083
2016-03-10,37.9,32.10499995
2016-03-10,38,32.06350915
2016-03-10,38.1,32.06355693
2016-03-10,38.2,32.08223337
2016-03-10,38.3,32.12330174
2016-03-10,38.4,32.15911021
2016-03-10,38.5,32.18906008
2016-03-10,38.6,32.21435718
2016-03-10,38.7,32.17714879
2016-03-10,38.8,32.09141885
2016-03-10,38.9,31.98318993
2016-03-10,39,31.896165
2016-03-13,37.6,31.73183622
2016-03-13,37.7,32.06262537
2016-03-13,37.8,32.15911671
2016-03-13,37.9,32.08849997
2016-03-13,38,32.06382479
2016-03-13,38.1,32.0544829
2016-03-13,38.2,32.05382163
2016-03-13,38.3,32.07380236
2016-03-13,38.4,32.11614063
2016-03-13,38.5,32.16896005
2016-03-13,38.6,32.21348049
2016-03-13,38.7,32.18785937
2016-03-13,38.8,32.06484585
2016-03-13,38.9,31.99646667
2016-03-13,39,31.85178824
2016-03-14,37.6,31.4658443
2016-03-14,37.7,31.62628386
2016-03-14,37.8,31.98033138
2016-03-14,37.9,32.11391565
2016-03-14,38,32.08093936
2016-03-14,38.1,32.05958926
2016-03-14,38.2,32.04637867
2016-03-14,38.3,32.03693624
2016-03-14,38.4,32.04602844
2016-03-14,38.5,32.07675888
2016-03-14,38.6,32.12805803
2016-03-14,38.7,32.18026019
2016-03-14,38.8,32.20401337
2016-03-14,38.9,32.11205526
2016-03-14,39,32.0446753
2016-03-16,37.6,31.67341124
2016-03-16,37.7,32.0772841
2016-03-16,37.8,32.15973005
2016-03-16,37.9,32.08826755
2016-03-16,38,32.05627954
2016-03-16,38.1,32.05187264
2016-03-16,38.2,32.06199405
2016-03-16,38.3,32.08350085
2016-03-16,38.4,32.12103657
2016-03-16,38.5,32.14548729
2016-03-16,38.6,32.18893941
2016-03-16,38.7,32.20161139
2016-03-16,38.8,32.09653495
2016-03-16,38.9,31.94432802
2016-03-16,39,31.84845728
2016-03-17,37.6,31.42723125
2016-03-17,37.7,31.54187617
2016-03-17,37.8,31.90748682
2016-03-17,37.9,32.03976873
2016-03-17,38,32.043851
2016-03-17,38.1,32.03561712
2016-03-17,38.2,32.02744588
2016-03-17,38.3,32.02157476
2016-03-17,38.4,32.03053122
2016-03-17,38.5,32.05645528
2016-03-17,38.6,32.09405958
2016-03-17,38.7,32.14062819
2016-03-17,38.8,32.17624545
2016-03-17,38.9,32.11709691
2016-03-17,39,32.07729267
2016-03-18,38.4,32.10338763
2016-03-18,38.5,32.144636
2016-03-18,38.6,32.18332187
2016-03-18,38.7,32.18354105
2016-03-18,38.8,32.08382313
2016-03-18,38.9,31.97993902
2016-03-18,39,31.76011591
2016-03-19,37.5,31.5782546
2016-03-19,37.6,31.77887637
2016-03-19,37.7,32.09330341
2016-03-19,37.8,32.10039408
2016-03-19,37.9,32.07100245
2016-03-19,38,32.05805128
2016-03-19,38.1,32.04928721
2016-03-19,38.2,32.04641492
2016-03-19,38.3,32.06279916
2016-03-19,38.4,32.08145473
