Date,Latitude,pH
2015-11-27,37.7,8.176936734693879
2015-11-27,37.8,8.158932653061225
2015-11-27,37.9,8.160723076923079
2015-11-27,38.0,8.152215686274507
2015-11-27,38.1,8.130760784313726
2015-11-27,38.2,8.12204081632653
2015-11-27,38.3,8.105336000000001
2015-11-27,38.4,8.116844680851063
2015-11-27,38.5,8.126057446808508
2015-11-27,38.6,8.134335555555554
2015-11-27,38.7,8.127082222222223
2015-11-27,38.8,8.121693617021279
2015-11-27,38.9,8.112582352941176
2015-11-29,37.6,7.999910256410257
2015-11-29,37.7,8.169674137931036
2015-11-29,37.8,8.17480344827586
2015-11-29,37.9,8.179525423728816
2015-11-29,38.0,8.169510769230769
2015-11-29,38.1,8.147405633802814
2015-11-29,38.2,8.128276811594207
2015-11-29,38.3,8.105870588235293
