Date,Latitude,Saturation
2016-03-06,38.2,102.20594908333334
2016-03-06,38.3,101.46537030555554
2016-03-06,38.4,101.77021431428575
2016-03-06,38.5,101.83009528571431
2016-03-06,38.6,100.51111108333333
2016-03-06,38.7,96.57476194285715
2016-03-06,38.8,94.6897685
2016-03-06,38.9,95.66937494444447
2016-03-06,39.0,97.12384607692306
2016-03-09,39.0,89.12292085714287
2016-03-10,37.6,98.6774746666667
2016-03-10,37.7,104.33722910000002
2016-03-10,37.8,103.38102082499998
2016-03-10,37.9,102.13752029268294
2016-03-10,38.0,103.30068747500005
2016-03-10,38.1,102.00835365853658
2016-03-10,38.2,100.77108327499998
2016-03-10,38.3,99.34205125641027
2016-03-10,38.4,97.80284187179487
2016-03-10,38.5,96.197375075
2016-03-10,38.6,92.76662397435896
2016-03-10,38.7,91.21967946153846
2016-03-10,38.8,91.93160261538462
2016-03-10,38.9,95.67245835000001
2016-03-10,39.0,99.54652750000001
2016-03-13,37.6,101.09567030434782
2016-03-13,37.7,105.26083331578947
2016-03-13,37.8,101.10184210526316
2016-03-13,37.9,102.04418805128205
2016-03-13,38.0,104.14185894871795
2016-03-13,38.1,102.94245723076924
2016-03-13,38.2,102.12516670000001
2016-03-13,38.3,102.68450397619046
2016-03-13,38.4,101.50689021951217
2016-03-13,38.5,98.33432917073168
2016-03-13,38.6,95.05475612195123
2016-03-13,38.7,93.65912604878048
2016-03-13,38.8,95.85789582499999
2016-03-13,38.9,100.60044876923078
2016-03-13,39.0,99.96469774509802
2016-03-14,37.6,94.50538820454548
2016-03-14,37.7,103.24123802857142
2016-03-14,37.8,104.11936279411763
2016-03-14,37.9,100.73774505882353
2016-03-14,38.0,101.3243434848485
2016-03-14,38.1,104.05321079411766
2016-03-14,38.2,104.02338369696972
2016-03-14,38.3,103.20404039393941
2016-03-14,38.4,103.73865197058825
2016-03-14,38.5,103.23257347058825
2016-03-14,38.6,101.7661668
2016-03-14,38.7,99.54583330555555
2016-03-14,38.8,97.23780954285714
2016-03-14,38.9,97.4951905142857
2016-03-14,39.0,99.81304347826088
2016-03-16,37.6,102.9297278979592
2016-03-16,37.7,107.3091071190476
2016-03-16,37.8,101.61372907499997
2016-03-16,37.9,103.73779167500001
2016-03-16,38.0,106.76585476923076
2016-03-16,38.1,106.65284187179488
2016-03-16,38.2,105.82660253846156
2016-03-16,38.3,104.80391662499999
2016-03-16,38.4,103.50226190476194
2016-03-16,38.5,101.98541664285715
2016-03-16,38.6,98.99268936363636
2016-03-16,38.7,96.16465913636365
2016-03-16,38.8,96.83312504545455
2016-03-16,38.9,104.88767040909092
2016-03-16,39.0,95.72880206250001
2016-03-17,37.6,95.88854165625
2016-03-17,37.7,102.76869042857145
2016-03-17,37.8,101.6916919090909
2016-03-17,37.9,97.92883836363636
2016-03-17,38.0,98.41182296875002
2016-03-17,38.1,100.92199493939395
2016-03-17,38.2,101.62460937499996
2016-03-17,38.3,102.67426769696971
2016-03-17,38.4,103.40867181249999
2016-03-17,38.5,103.15187496874996
2016-03-17,38.6,102.41805557575758
2016-03-17,38.7,100.68981768749998
2016-03-17,38.8,98.22126260606063
2016-03-17,38.9,97.96426751515152
2016-03-17,39.0,99.16092599999999
2016-03-18,38.4,103.60635803703703
2016-03-18,38.5,101.57820184210526
2016-03-18,38.6,98.41164473684206
2016-03-18,38.7,96.39247861538462
2016-03-18,38.8,97.18568374358973
2016-03-18,38.9,102.14341465853657
2016-03-18,39.0,100.06661930357144
2016-03-19,37.5,118.50580002000004
2016-03-19,37.6,111.76057013157896
2016-03-19,37.7,103.86175215384618
2016-03-19,37.8,99.68679484615384
2016-03-19,37.9,102.83783337499997
2016-03-19,38.0,106.08715817948719
2016-03-19,38.1,106.11660256410258
2016-03-19,38.2,105.66532894736842
2016-03-19,38.3,104.8766667105263
2016-03-19,38.4,104.24469709090909
2016-03-21,37.6,85.96344297368422
2016-03-21,37.7,106.79357148571431
2016-03-21,37.8,103.84881315151515
2016-03-21,37.9,100.622119
2016-03-21,38.0,104.04330812121209
2016-03-21,38.1,108.54688729411765
2016-03-21,38.2,112.4855391470588
2016-03-21,38.3,110.34275260606064
2016-03-21,38.4,108.71551473529414
2016-03-21,38.5,108.55858587878788
2016-03-21,38.6,107.4052696176471
2016-03-21,38.7,105.35906563636364
2016-03-21,38.8,102.62801464705885
2016-03-21,38.9,101.77911615151514
2016-03-21,39.0,107.99263432258064
2016-03-23,37.6,105.3090804137931
2016-03-23,37.7,105.40079165
2016-03-23,37.8,101.94893156410257
2016-03-23,37.9,102.40216667499999
2016-03-23,38.0,107.31303417948719
2016-03-23,38.1,108.74849995000002
2016-03-23,38.2,105.82420729268291
2016-03-23,38.3,104.33685412499997
2016-03-23,38.4,104.11916657894739
2016-03-23,38.5,101.28846156410258
2016-03-23,38.6,98.66668924324327
2016-03-23,38.7,97.0736261081081
2016-03-23,38.8,98.58146394594596
2016-03-23,38.9,104.386750025
2016-03-23,39.0,91.08416659999997
2016-03-25,37.6,84.58583334782608
2016-03-25,37.7,103.11932427027028
2016-03-25,37.8,98.71678562857139
2016-03-25,37.9,95.5345721081081
2016-03-25,38.0,98.83211908571428
2016-03-25,38.1,104.05254497297298
2016-03-25,38.2,108.50620380555554
2016-03-25,38.3,96.4795946216216
2016-03-25,38.4,71.65231486111112
2016-03-25,38.5,71.63504502702703
2016-03-25,38.6,71.61733797222222
2016-03-25,38.7,71.51785711428573
2016-03-25,38.8,70.94238102857142
2016-03-25,38.9,70.46654757142856
2016-03-25,39.0,71.68431252500001
2016-03-26,37.6,109.04040488571427
2016-03-26,37.7,103.275270875
2016-03-26,37.8,101.08300002499999
2016-03-26,37.9,105.41597920000001
2016-03-26,38.0,110.55544874358972
2016-03-26,38.1,111.8144872051282
2016-03-26,38.2,109.02050002500002
2016-03-26,38.3,106.29646346341464
2016-03-26,38.4,107.16918752499998
2016-03-26,38.5,109.56466675000001
2016-03-26,38.6,111.69538612195122
2016-03-26,38.7,103.12327520930234
2016-03-26,38.8,103.96119047619047
2016-03-26,38.9,109.9527380238095
2016-03-26,39.0,103.80965985714288
2016-04-01,37.6,106.67914352777777
2016-04-01,37.7,101.46761895238097
2016-04-01,37.8,98.10883716279069
2016-04-01,37.9,100.60767859523808
2016-04-01,38.0,105.46476185714285
2016-04-01,38.1,107.69805559523809
2016-04-01,38.2,106.09083331707322
2016-04-01,38.3,104.01353660975609
2016-04-01,38.4,104.39335358536586
2016-04-01,38.5,106.44742059523809
2016-04-01,38.6,110.08046746341465
2016-04-01,38.7,107.49555559523809
2016-04-01,38.8,106.28565469047622
2016-04-01,38.9,108.46484497674416
2016-04-01,39.0,103.52100730769232
2016-04-03,37.6,79.86967169696969
2016-04-03,37.7,97.56009514285714
2016-04-03,37.8,96.84803914705881
2016-04-03,37.9,96.8353241111111
2016-04-03,38.0,98.01116665714285
2016-04-03,38.1,101.28343141176468
2016-04-03,38.2,104.32051473529411
2016-04-03,38.3,103.99488735135137
2016-04-03,38.4,103.82020199999998
2016-04-03,38.5,104.78585785294118
2016-04-03,38.6,106.01053926470586
2016-04-03,38.7,109.21192860000001
2016-04-03,38.8,110.63616665714288
2016-04-03,38.9,107.93938094285714
2016-04-03,39.0,108.45749974999998
2016-04-04,37.6,106.20942706249998
2016-04-04,37.7,99.39967806818184
2016-04-04,37.8,99.08684109302327
2016-04-04,37.9,100.92399225581393
2016-04-04,38.0,104.80750000000002
2016-04-04,38.1,107.07861790243903
2016-04-04,38.2,105.82918749999999
2016-04-04,38.3,104.11972915000001
2016-04-04,38.4,104.81061958974355
2016-04-04,38.5,106.008791675
2016-04-04,38.6,110.15762823076926
2016-04-04,38.7,110.37993899999998
2016-04-04,38.8,107.12876985714286
2016-04-04,38.9,109.59104161363639
2016-04-04,39.0,95.8933736969697
2016-04-05,37.6,91.8986110952381
2016-04-05,37.7,102.27085779411766
2016-04-05,37.8,99.57076188571429
2016-04-05,37.9,98.97874994117649
2016-04-05,38.0,98.74941179411766
2016-04-05,38.1,99.7530807878788
2016-04-05,38.2,102.39598484848487
2016-04-05,38.3,103.33032833333334
2016-04-05,38.4,102.30720585294115
2016-04-05,38.5,102.38401967647061
2016-04-05,38.6,103.44036761764707
2016-04-05,38.7,108.11059517142857
2016-04-05,38.8,109.4090714
2016-04-05,38.9,105.66269048571431
2016-04-05,39.0,105.9946666
2016-04-09,37.6,104.04303761290322
2016-04-09,37.7,100.48980766666665
2016-04-09,37.8,100.36952077499997
2016-04-09,37.9,101.25985775609756
2016-04-09,38.0,102.56162612195119
2016-04-09,38.1,104.80377087499998
2016-04-09,38.2,104.69191058536585
2016-04-09,38.3,102.67999997500002
2016-04-09,38.4,103.31898809523807
2016-04-09,38.5,105.77825395238096
2016-04-09,38.6,107.70071706976744
2016-04-09,38.7,104.51180234883721
2016-04-09,38.8,104.10986104761903
2016-04-09,38.9,109.78630082926828
2016-04-09,39.0,93.4579694
2016-04-10,37.6,82.10571758333333
2016-04-11,37.6,96.84797614285715
2016-04-11,37.7,99.02528458536584
2016-04-11,37.8,98.55335360975607
2016-04-11,37.9,97.81751988095236
2016-04-11,38.0,98.26773505128206
2016-04-11,38.1,99.234935974359
2016-04-11,38.2,102.32973681578945
2016-04-11,38.3,104.36914478947368
2016-04-11,38.4,104.05560183333331
